Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
insert/1024/BST,1.1086203545276538e-4,1.1005339364493518e-4,1.121496223050575e-4,3.3101504643143305e-6,2.3888635205307537e-6,5.181854638468441e-6
insert/2048/BST,2.7037366334404015e-4,2.6861815660641163e-4,2.7281717265985073e-4,7.4543196468859484e-6,5.346449405338534e-6,1.118134955673219e-5
insert/4096/BST,6.549347530348169e-4,6.498352635131932e-4,6.618940537691326e-4,1.9428289333440647e-5,1.5248570171182673e-5,2.47498766099455e-5
insert/8192/BST,2.2239424574666622e-3,2.196131210850868e-3,2.2580578882477865e-3,9.868990916886841e-5,7.937374408582201e-5,1.2362537102030469e-4
insert/16384/BST,5.642250457818312e-3,5.58469848184834e-3,5.711163491106416e-3,1.9081772694749276e-4,1.5406459018062695e-4,2.4020102074871316e-4
insert/32768/BST,1.5540580258755437e-2,1.5292676504641767e-2,1.583160771853246e-2,6.55117272421714e-4,5.161634181795615e-4,8.835464188780726e-4
insert/65536/BST,4.67067925099245e-2,4.5585740743534525e-2,4.772933912098571e-2,2.073952154551322e-3,1.5942760470659526e-3,2.830270336908207e-3
insert/131072/BST,0.1370390396660566,0.13132530041972737,0.14121414117495684,7.644979491531581e-3,4.267452929375543e-3,1.138913265042964e-2
insert/262144/BST,0.3850306127460499,0.3822429639840266,0.38942410250820103,4.555919968681376e-3,7.580132514704019e-4,5.81980244988398e-3
insert/524288/BST,1.0126834567672631,1.0003430438919167,1.0247319963236805,1.3474595090068785e-2,5.936586290772539e-3,1.8774624335642375e-2
insert/1048576/BST,2.0009622509423934,1.990199152372952,2.012492535264755,1.4094252078632444e-2,5.869393644983834e-3,1.8986917780541932e-2
contains-1000/1024/BST,9.745023194992358e-5,9.481031999806668e-5,1.0112799142294704e-4,1.0098715521389128e-5,8.381435620480321e-6,1.197313334385142e-5
contains-1000/2048/BST,9.186296034255169e-5,9.064908554493112e-5,9.490096139196132e-5,5.905050756870066e-6,2.828508438781944e-6,1.1266495035577233e-5
contains-1000/4096/BST,1.0716389318509035e-4,1.0498858560563551e-4,1.100163723766071e-4,8.249479719980348e-6,6.6346469404045976e-6,9.907198553522245e-6
contains-1000/8192/BST,1.0990888087120378e-4,1.0856307444426417e-4,1.1194902743389551e-4,5.73711861711434e-6,4.165414561380888e-6,7.89269095893911e-6
contains-1000/16384/BST,1.0579060681151868e-4,1.040391526372022e-4,1.0820874538167261e-4,7.248646956202602e-6,5.602304745428557e-6,9.065863112328988e-6
contains-1000/32768/BST,9.173450452487541e-5,9.072689272352776e-5,9.369265284339612e-5,4.588471660496531e-6,3.0287049416223273e-6,7.723132259762145e-6
contains-1000/65536/BST,1.0172913916646755e-4,9.952844290071873e-5,1.0424929096105593e-4,7.765666927101968e-6,6.3565008397411295e-6,9.328115843430237e-6
contains-1000/131072/BST,9.502348350417976e-5,9.352771798691202e-5,9.728880954765207e-5,6.064715323001771e-6,4.135480862958321e-6,8.584837857180155e-6
contains-1000/262144/BST,8.93564225932397e-5,8.828169845167276e-5,9.092308175754938e-5,4.394987581498763e-6,2.8507418142193594e-6,6.506271111073151e-6
contains-1000/524288/BST,9.581433230448704e-5,9.429240274754886e-5,9.750915342504638e-5,5.4813634551050006e-6,3.8432769152656316e-6,7.395339023868072e-6
contains-1000/1048576/BST,9.424937004929158e-5,9.347823521493915e-5,9.580965466115951e-5,3.626479286036908e-6,1.7243983482076852e-6,6.139515440504507e-6
delete-1000/1024/BST,1.261078989364919e-4,1.252341770514782e-4,1.272542382281426e-4,3.2956979669071796e-6,2.571100528625994e-6,3.985017973212633e-6
delete-1000/2048/BST,1.4250987647423938e-4,1.4137953450717676e-4,1.4424019061549568e-4,4.694712630738237e-6,3.5171437087810676e-6,6.564349352574557e-6
delete-1000/4096/BST,1.6935895114463662e-4,1.677584496703874e-4,1.7098984491674727e-4,5.222383604681725e-6,4.649036755548355e-6,5.911502680375756e-6
delete-1000/8192/BST,1.8469028825830703e-4,1.819219653936735e-4,1.9144982939995578e-4,1.3334554604142357e-5,7.945878354108772e-6,2.5410657404107523e-5
delete-1000/16384/BST,2.5191866869707326e-4,2.4958249007696256e-4,2.5439173740490274e-4,7.962482987992155e-6,6.406819844321768e-6,1.0079502984060487e-5
delete-1000/32768/BST,3.8719151240818956e-4,3.8336149157183183e-4,3.9182952896801555e-4,1.4569175736093375e-5,1.2601172350814764e-5,1.6855057545254718e-5
delete-1000/65536/BST,5.492135771428836e-4,5.437406184115429e-4,5.622523548147816e-4,2.7646326450522887e-5,1.3887326355300519e-5,4.7810741950943105e-5
delete-1000/131072/BST,1.0029986967294783e-3,9.916339649536866e-4,1.0214904552841664e-3,4.8155515179777916e-5,3.299632750678629e-5,6.942570816042743e-5
delete-1000/262144/BST,2.024057959211685e-3,1.9904762279999767e-3,2.071587395503162e-3,1.3008436845930762e-4,9.313147775324967e-5,1.8201026717709393e-4
delete-1000/524288/BST,4.1171729847708696e-3,4.0652977751508e-3,4.1923114225928225e-3,1.8654580187822252e-4,1.4497644096467697e-4,2.492015697308464e-4
delete-1000/1048576/BST,8.332731154385655e-3,8.267220875900243e-3,8.419288768041404e-3,2.1499003530612762e-4,1.787856237889064e-4,2.637746256728802e-4
