Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
insert/1024/RBT,9.958776594767507e-5,9.63109190331804e-5,1.0290250078087342e-4,1.1178155325018168e-5,9.713633029102231e-6,1.3424202371897245e-5
insert/2048/RBT,2.997757346714928e-4,2.9560589640949996e-4,3.0427867783369754e-4,1.471175985388124e-5,1.2640000887101959e-5,1.7313450991862702e-5
insert/4096/RBT,6.845622032147341e-4,6.789701748991183e-4,6.918942660926426e-4,2.1840717903152108e-5,1.6675924082932013e-5,3.309885853698741e-5
insert/8192/RBT,1.8762222962366614e-3,1.8489656000535081e-3,1.9068584065240915e-3,1.0207047873977088e-4,8.25600421517708e-5,1.2976446564898065e-4
insert/16384/RBT,4.730624687727004e-3,4.641046191556417e-3,4.845227324999294e-3,3.079916986462501e-4,2.504992562516576e-4,3.898662041754166e-4
insert/32768/RBT,1.1294053403557295e-2,1.1035588036970604e-2,1.1551839477573902e-2,6.837480404485481e-4,5.581620473906218e-4,8.379484041061005e-4
insert/65536/RBT,3.349483095525654e-2,3.251667109761517e-2,3.473100219584672e-2,2.351169449541989e-3,1.7394512446974118e-3,3.4528002017670985e-3
insert/131072/RBT,9.535599538004011e-2,9.136612594199875e-2,0.10309449048428279,8.794171735506886e-3,4.115270492467567e-3,1.4034897530233993e-2
insert/262144/RBT,0.2669632797443774,0.2555747026053723,0.274581885203952,1.254280989589212e-2,7.1039367194010074e-3,1.7273262014520764e-2
insert/524288/RBT,0.7559407856424514,0.7362061803287361,0.7721630669293518,2.0165140442893335e-2,1.5021171333501115e-2,2.3677146092076655e-2
insert/1048576/RBT,2.0791990000094906,1.9759375402718433,2.1608472297545327,0.10554099962402559,6.683323250035755e-2,0.12708598616694064
contains-1000/1024/RBT,5.6215396379052895e-5,5.527300535933344e-5,5.781904048583585e-5,4.043969666932205e-6,2.3719376555753594e-6,6.501135475308182e-6
contains-1000/2048/RBT,6.490686051114913e-5,6.347275059795517e-5,6.727294287543767e-5,6.1027172770166755e-6,4.153756687206095e-6,8.061074705199114e-6
contains-1000/4096/RBT,7.38045759621798e-5,7.226330997972405e-5,7.561876692931364e-5,5.637376383449844e-6,4.214367495062719e-6,7.237183072895152e-6
contains-1000/8192/RBT,8.325953022613696e-5,8.253367501070043e-5,8.419419195511833e-5,2.805107802794366e-6,2.1891646355138613e-6,4.173258102982957e-6
contains-1000/16384/RBT,9.542490863318356e-5,9.449858720910796e-5,9.713364027262885e-5,4.3654733063504306e-6,2.903224931799146e-6,6.6573574677779786e-6
contains-1000/32768/RBT,1.1029272476431408e-4,1.0927383656734966e-4,1.119239417700416e-4,4.280566458575391e-6,3.222954860467968e-6,5.47190136551063e-6
contains-1000/65536/RBT,1.2702863064314326e-4,1.263177228476828e-4,1.2807938192665942e-4,2.9865810711145353e-6,2.2399806415512737e-6,4.51896511078449e-6
contains-1000/131072/RBT,1.4839560959584324e-4,1.4670581541705494e-4,1.5025391751052048e-4,5.906078032287832e-6,4.5386450261710385e-6,7.211571316336149e-6
contains-1000/262144/RBT,1.8238422064280238e-4,1.814047377248583e-4,1.83544131085183e-4,3.7092677413921174e-6,3.1150424928488763e-6,4.371017111215107e-6
contains-1000/524288/RBT,2.110561743725831e-4,2.0995580054071947e-4,2.1271028578624665e-4,4.403591540154962e-6,3.565357574472377e-6,5.503102587977218e-6
contains-1000/1048576/RBT,2.558955748351697e-4,2.518661076856159e-4,2.6486210529989455e-4,2.0227722695709406e-5,1.0085452438071888e-5,3.524725375447382e-5
delete-1000/1024/RBT,1.1833056367167829e-4,1.1659993412483183e-4,1.2059335428528243e-4,6.926657411297793e-6,5.3960718811999115e-6,9.764526700189566e-6
delete-1000/2048/RBT,1.5409827917405754e-4,1.5121529395277332e-4,1.575620057459579e-4,1.1108330482257851e-5,9.077282915894614e-6,1.5603279287022423e-5
delete-1000/4096/RBT,1.9308174488136582e-4,1.8868617280901818e-4,1.9856024303816741e-4,1.6937652813054398e-5,1.4233419990085266e-5,2.0650012244526143e-5
delete-1000/8192/RBT,2.3059215842671126e-4,2.2728053112538554e-4,2.3450437037629475e-4,1.1904142089530615e-5,9.817887900385277e-6,1.480990855713848e-5
delete-1000/16384/RBT,3.066386531212334e-4,3.0308571632167963e-4,3.110890869550409e-4,1.2836664972495268e-5,1.017097515751493e-5,1.6867375315650262e-5
delete-1000/32768/RBT,4.141503015977597e-4,4.100693446355927e-4,4.1965350211416863e-4,1.5340772907998304e-5,1.285950349313917e-5,1.8193416597802618e-5
