Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
contains-random/1024/BST,3.535683218264019e-5,3.4190582842076004e-5,3.651971343184321e-5,3.7744526265491644e-6,2.764486990033823e-6,5.083212855729228e-6
contains-random/1024/RBT,3.150910817544724e-5,3.0305911663156003e-5,3.2806873804420406e-5,4.519430934421685e-6,3.97436498182439e-6,5.161367499011087e-6
contains-random/2048/BST,9.942467283620643e-5,9.475849819505181e-5,1.0343481096325335e-4,1.506464972101026e-5,1.198420090353984e-5,1.7595494389180558e-5
contains-random/2048/RBT,8.720182312533527e-5,8.402877656942097e-5,8.920930994985953e-5,8.261124393323718e-6,5.254951412475018e-6,1.1487639999001068e-5
contains-random/4096/BST,2.3345200115261033e-4,2.3185634854017086e-4,2.3674806130326314e-4,6.88184353142087e-6,4.407069279689277e-6,1.2727743743611579e-5
contains-random/4096/RBT,2.086202338267705e-4,2.0698234020655916e-4,2.114706149713166e-4,6.617867247801094e-6,4.607442682299559e-6,1.0695785012418952e-5
contains-random/8192/BST,5.373230438504222e-4,5.338737829663409e-4,5.425847550780597e-4,1.3446981042314544e-5,9.936258071292112e-6,2.0249965529871752e-5
contains-random/8192/RBT,4.714349227199189e-4,4.685775738090522e-4,4.757790607728396e-4,1.1326826763325874e-5,7.853167914771601e-6,1.718428814372497e-5
contains-random/16384/BST,1.1642698738529478e-3,1.1567720682515582e-3,1.1746464292364761e-3,2.8798045550933733e-5,2.199866034325202e-5,3.9814298699934004e-5
contains-random/16384/RBT,1.0508941080262333e-3,1.0437780403440473e-3,1.0607671236893372e-3,2.857474624649954e-5,2.0773782462730255e-5,4.1742110759975886e-5
contains-random/32768/BST,2.644274823669082e-3,2.6171076140030216e-3,2.6794212935062583e-3,1.0519803891822681e-4,7.979072753924684e-5,1.4474477917939837e-4
contains-random/32768/RBT,2.494957227005141e-3,2.4724234970269366e-3,2.5190868240891865e-3,7.456799729221823e-5,5.977017888847351e-5,9.567987191980723e-5
contains-random/65536/BST,6.491773000832938e-3,6.409704322721241e-3,6.612308698662441e-3,3.021537284404215e-4,2.2448289822386846e-4,4.148390848301421e-4
contains-random/65536/RBT,5.576151184125894e-3,5.516817320771913e-3,5.648825914297388e-3,2.0924458344338058e-4,1.6744007029059229e-4,2.567410378412622e-4
contains-random/131072/BST,1.505313276140096e-2,1.4739227757176782e-2,1.541789555337615e-2,8.296053053287174e-4,6.582393447824044e-4,1.0813945167521411e-3
contains-random/131072/RBT,1.2943856003665545e-2,1.2714697875777156e-2,1.3257038532612097e-2,7.493663516872024e-4,5.519572641735539e-4,1.0018278888835027e-3
contains-random/262144/BST,3.993904868583251e-2,3.874247515151474e-2,4.1781179897065826e-2,2.949153171812638e-3,1.7881989667499225e-3,4.4176948175040824e-3
contains-random/262144/RBT,4.624067368088321e-2,4.533228434981751e-2,4.719523606750609e-2,1.9442214511176984e-3,1.4158547777363027e-3,2.734064524549566e-3
contains-random/524288/BST,0.13719301296131062,0.13286264821428645,0.14399429093750196,7.843688969574793e-3,4.450028117553848e-3,1.1364902090886881e-2
contains-random/524288/RBT,0.11863324177083358,0.11634735531249994,0.12405488333333366,5.23844221998454e-3,2.0028952728706226e-3,8.270994127540225e-3
contains-random/1048576/BST,0.3221926746666662,0.31134598933333296,0.3338181480000016,1.4580830244499557e-2,1.1259442956582254e-2,1.689952307635726e-2
contains-random/1048576/RBT,0.35173462708333386,0.3481842999999998,0.35434303958333285,3.912362416344282e-3,1.9891333333343086e-3,5.506617718711263e-3
