Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
contains-sorted/1024/BST,1.0699496825267948e-3,1.0578893184656143e-3,1.0865340489224812e-3,4.872629940713115e-5,3.438043859895152e-5,6.749206178262983e-5
contains-sorted/1024/RBT,2.8503063485035562e-5,2.7696932246627825e-5,2.9225330603819097e-5,2.4483608436311e-6,2.137165749017137e-6,2.833289753342857e-6
contains-sorted/2048/BST,4.476588709438919e-3,4.403634107918136e-3,4.544833037765379e-3,2.1800197524622297e-4,1.882052294424318e-4,2.6857730424089424e-4
contains-sorted/2048/RBT,6.271254391228426e-5,6.188453482923706e-5,6.356193894326984e-5,2.8312394113165693e-6,2.2713227168604266e-6,3.8123085452227352e-6
contains-sorted/4096/BST,1.743769101156313e-2,1.712704568579151e-2,1.782042495855225e-2,8.657522316692202e-4,6.934196043839107e-4,1.0393617180153541e-3
contains-sorted/4096/RBT,1.4152814893678457e-4,1.387147908236874e-4,1.4384938543975185e-4,8.148098435797305e-6,7.047772894305695e-6,9.153711220094007e-6
contains-sorted/8192/BST,7.211926403056554e-2,7.031204234159788e-2,7.448835523809501e-2,3.5885373151832807e-3,2.669151414866155e-3,4.753782768164459e-3
contains-sorted/8192/RBT,3.075172079375791e-4,3.01260869121652e-4,3.136739023718105e-4,2.104702298302281e-5,1.8817910065080244e-5,2.6020840785285658e-5
contains-sorted/16384/BST,0.3150780886666651,0.3106560866666643,0.3224895733333324,7.690488152905627e-3,1.1883287368343399e-3,1.0988629037693853e-2
contains-sorted/16384/RBT,7.311417628716247e-4,7.163608419731358e-4,7.569670083639966e-4,6.180247509783805e-5,3.8129980047566275e-5,1.0619569759140587e-4
contains-sorted/32768/BST,1.256327858333331,1.2420626833333308,1.2702062499999975,1.6774212866919797e-2,1.0481483333331654e-2,1.9947798210664742e-2
contains-sorted/32768/RBT,1.6075834218799662e-3,1.5684098017569648e-3,1.6723716984565042e-3,1.60554362475422e-4,1.1140574850734661e-4,2.443044155539181e-4
contains-sorted/65536/BST,5.086843566666665,5.040522649999996,5.117195924999999,4.9599855325977465e-2,2.9555512554215336e-2,7.009576901716158e-2
contains-sorted/65536/RBT,3.1972240204408884e-3,3.153442042129504e-3,3.275213109525788e-3,1.957103646933264e-4,1.2663545227978903e-4,3.1678429920553136e-4
