Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
delete-random/1024/BST,7.699466315575447e-5,7.629719375289813e-5,7.793291891132981e-5,2.7286358025224517e-6,2.005106641304793e-6,4.24661400463832e-6
delete-random/1024/RBT,7.139073568041083e-5,6.994439707982901e-5,7.387049872027845e-5,5.932976741192004e-6,3.927965977705177e-6,9.759845642201623e-6
delete-random/2048/BST,1.8959600206967992e-4,1.8532475977950578e-4,1.9732833745946164e-4,1.782444780384848e-5,1.3734897701905019e-5,2.5028586662200053e-5
delete-random/2048/RBT,1.7788600443240614e-4,1.7525324600813305e-4,1.8226041873931013e-4,1.1111948889032977e-5,7.993204540135146e-6,1.7172897080971113e-5
delete-random/4096/BST,4.6200572305306423e-4,4.5342263731178997e-4,4.7620084261955657e-4,3.947260895794475e-5,2.5161438266303628e-5,6.408632397286733e-5
delete-random/4096/RBT,4.6316715012893387e-4,4.527266617363188e-4,4.783529339087979e-4,4.380680322964833e-5,3.31087426573941e-5,6.528441451438136e-5
delete-random/8192/BST,1.1824564180358097e-3,1.1577622293834913e-3,1.2381800622844371e-3,1.1573447026583196e-4,6.75117128642509e-5,2.123938640675797e-4
delete-random/8192/RBT,1.1047725933540488e-3,1.0871654152758057e-3,1.1297751460372415e-3,6.970198953939983e-5,5.389401681826703e-5,9.030049776376207e-5
delete-random/16384/BST,4.165015948135625e-3,4.076534655374762e-3,4.313481763051647e-3,3.3853001830012674e-4,2.313944531496504e-4,5.103198284723061e-4
delete-random/16384/RBT,3.0985104696547978e-3,3.03584743251752e-3,3.1808797041088708e-3,2.2559878496751845e-4,1.8362116108714644e-4,2.9397335553425877e-4
delete-random/32768/BST,1.1543961308918348e-2,1.1207359957423894e-2,1.1977570997874519e-2,1.005133446980153e-3,7.199086626451275e-4,1.3647844533666458e-3
delete-random/32768/RBT,8.337717797363248e-3,7.99585819832836e-3,8.855698089008336e-3,1.2358355255049983e-3,9.338230458981518e-4,1.556443335020612e-3
delete-random/65536/BST,3.4974603519917755e-2,3.420051279933593e-2,3.643353512648838e-2,2.1854115018065767e-3,9.115158667999455e-4,3.182979126025444e-3
delete-random/65536/RBT,2.5621968437367144e-2,2.338180888386134e-2,2.80960929651433e-2,4.872043725662323e-3,3.934116316235642e-3,6.721070512441429e-3
delete-random/131072/BST,0.11932392014880819,0.11293708285714112,0.1300952401488097,1.2502348486098817e-2,6.027895717236059e-3,2.023879822758532e-2
delete-random/131072/RBT,7.626199750793591e-2,6.827158817460297e-2,8.207432196031679e-2,1.1928957324726368e-2,6.477169753460663e-3,1.8536682823423484e-2
delete-random/262144/BST,0.289554262666665,0.25735732666666516,0.3078622293333324,3.037471124387241e-2,1.2462240811414806e-2,4.469669847360409e-2
delete-random/262144/RBT,0.2089842794444453,0.19153166666666818,0.22472145000000018,2.2599101052862672e-2,1.3337478611724183e-2,3.322269576228785e-2
delete-random/524288/BST,0.6949368083333333,0.6781466499999986,0.7178745374999993,2.2504152928953376e-2,7.88980343585336e-3,3.058254205661405e-2
delete-random/524288/RBT,0.47665787708333374,0.38857240000000104,0.5114382770833327,6.0929141791080006e-2,7.616496164942282e-3,8.032189321008898e-2
delete-random/1048576/BST,1.5469685520833345,1.5315712374999961,1.5570863520833342,1.4972014755708005e-2,7.325203709121823e-3,1.9517720372646426e-2
delete-random/1048576/RBT,1.2811951541666702,1.2208564250000045,1.3312910583333335,6.028105184577112e-2,4.0556762355028204e-2,7.166034975664574e-2
delete-random/2097152/BST,3.6542039874999954,3.5091187749999992,3.752368424999993,0.1493453328191277,7.333002499999708e-2,0.209867082658044
delete-random/2097152/RBT,3.211040537499997,3.005712599999981,3.2823275125000038,0.13750922227599321,2.2139250000066113e-3,0.16463021682387194
delete-random/4194304/BST,7.935120687500001,6.859545400000002,8.3262549,0.7246510727262644,6.750802499999953e-2,0.9032857715045869
delete-random/4194304/RBT,7.715216949999991,7.273814624999972,8.032511850000006,0.4367783258562084,0.1758796558789068,0.5976273302588296
