Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
delete-random/1024/BST,1.1105530632621026e-3,1.102445382629995e-3,1.1252314564217701e-3,3.6312789834141125e-5,2.5278449083443878e-5,5.794848259362872e-5
delete-random/1024/RBT,4.050770493238003e-5,4.0129416407087754e-5,4.105094714686357e-5,1.5469864579775904e-6,1.1588123632320185e-6,1.994802383983951e-6
delete-random/2048/BST,5.413287789424368e-3,5.266651663690058e-3,5.590423220643366e-3,4.7576169178577954e-4,4.2494304195465937e-4,5.225682723693151e-4
delete-random/2048/RBT,8.762674490665078e-5,8.69842018623756e-5,8.847732900982278e-5,2.4981959862214997e-6,1.883341009960821e-6,3.310914737363305e-6
delete-random/4096/BST,2.1611059743737726e-2,2.106912966566307e-2,2.2348790453220135e-2,1.4867835328413507e-3,1.0681136206576911e-3,1.874509211805083e-3
delete-random/4096/RBT,1.8835039796829823e-4,1.8697148308273554e-4,1.9030124163892958e-4,5.630396816905367e-6,4.169811000870188e-6,7.82853230260303e-6
delete-random/8192/BST,0.11369687089285692,0.11256861583333275,0.11544540773809511,2.223435961976174e-3,8.380424852077583e-4,2.7327458730112848e-3
delete-random/8192/RBT,4.0641459532834073e-4,4.036116830252136e-4,4.103011532906471e-4,1.0516680277736922e-5,7.905441055268887e-6,1.3267192030967918e-5
delete-random/16384/BST,0.46526862291666743,0.4612500687500032,0.46921880833333296,4.754843931149355e-3,3.156129853842093e-3,5.586479694693838e-3
delete-random/16384/RBT,8.73790223418318e-4,8.673343906636404e-4,8.818598738770247e-4,2.372368448681808e-5,1.741217003026923e-5,3.196956532934093e-5
delete-random/32768/BST,2.179259962500003,2.1397507000000013,2.210286325000003,3.880036327049505e-2,1.696580000000303e-2,4.9498374773625196e-2
delete-random/32768/RBT,2.0169671341523886e-3,1.9763853168362554e-3,2.068783683862233e-3,1.4810375839721698e-4,1.2173781418509404e-4,2.0393250495911032e-4
delete-random/65536/BST,9.98137772708333,9.629490077083336,10.494410012499987,0.5176295870676348,0.11359076249999944,0.6814864031943482
delete-random/65536/RBT,4.478281580021753e-3,4.386538142571662e-3,4.595844168156046e-3,3.3141361876777077e-4,2.681209193753939e-4,4.630449461714639e-4
delete-random/131072/BST,44.674265622916614,42.54103629791667,46.25352348749993,2.1080725425479447,0.9607938083539469,2.6225152894766914
delete-random/131072/RBT,8.548783255169551e-3,8.461191823135757e-3,8.705457319107959e-3,3.3087528873664707e-4,1.9750314001554164e-4,5.821016648203945e-4

